,Level I,Level II,Level III
128,Food,Bangladeshi Restaurant,Bangladeshi Restaurant
129,Food,Belgian Restaurant,Belgian Restaurant
130,Food,Bistro,Bistro
131,Food,Breakfast Spot,Breakfast Spot
132,Food,Bubble Tea Shop,Bubble Tea Shop
133,Food,Buffet,Buffet
134,Food,Burger Joint,Burger Joint
135,Food,Cafeteria,Cafeteria
136,Food,Café,Café
137,Food,Cajun / Creole Restaurant,Cajun / Creole Restaurant
138,Food,Caribbean Restaurant,Cuban Restaurant
139,Food,Caucasian Restaurant,Caucasian Restaurant
140,Food,Coffee Shop,Coffee Shop
141,Food,Comfort Food Restaurant,Comfort Food Restaurant
142,Food,Creperie,Creperie
143,Food,Czech Restaurant,Czech Restaurant
144,Food,Deli / Bodega,Deli / Bodega
145,Food,Dessert Shop,Cupcake Shop
146,Food,Dessert Shop,Frozen Yogurt Shop
147,Food,Dessert Shop,Ice Cream Shop
148,Food,Dessert Shop,Pastry Shop
149,Food,Dessert Shop,Pie Shop
150,Food,Diner,Diner
151,Food,Donut Shop,Donut Shop
152,Food,Dumpling Restaurant,Dumpling Restaurant
153,Food,Dutch Restaurant,Dutch Restaurant
154,Food,Eastern European Restaurant,Belarusian Restaurant
155,Food,Eastern European Restaurant,Bosnian Restaurant
156,Food,Eastern European Restaurant,Bulgarian Restaurant
157,Food,Eastern European Restaurant,Romanian Restaurant
158,Food,Eastern European Restaurant,Tatar Restaurant
159,Food,English Restaurant,English Restaurant
160,Food,Falafel Restaurant,Falafel Restaurant
161,Food,Fast Food Restaurant,Fast Food Restaurant
162,Food,Fish & Chips Shop,Fish & Chips Shop
163,Food,Fondue Restaurant,Fondue Restaurant
164,Food,Food Court,Food Court
165,Food,Food Stand,Food Stand
166,Food,Food Truck,Food Truck
167,Food,French Restaurant,Alsatian Restaurant
168,Food,French Restaurant,Auvergne Restaurant
169,Food,French Restaurant,Basque Restaurant
170,Food,French Restaurant,Brasserie
171,Food,French Restaurant,Breton Restaurant
172,Food,French Restaurant,Burgundian Restaurant
173,Food,French Restaurant,Catalan Restaurant
174,Food,French Restaurant,Ch'ti Restaurant
175,Food,French Restaurant,Corsican Restaurant
176,Food,French Restaurant,Estaminet
177,Food,French Restaurant,Labour Canteen
178,Food,French Restaurant,Lyonese Bouchon
179,Food,French Restaurant,Norman Restaurant
180,Food,French Restaurant,Provençal Restaurant
181,Food,French Restaurant,Savoyard Restaurant
182,Food,French Restaurant,Southwestern French Restaurant
183,Food,Fried Chicken Joint,Fried Chicken Joint
184,Food,Friterie,Friterie
185,Food,Gastropub,Gastropub
186,Food,German Restaurant,Apple Wine Pub
187,Food,German Restaurant,Bavarian Restaurant
188,Food,German Restaurant,Bratwurst Joint
189,Food,German Restaurant,Currywurst Joint
190,Food,German Restaurant,Franconian Restaurant
191,Food,German Restaurant,German Pop-Up Restaurant
192,Food,German Restaurant,Palatine Restaurant
193,Food,German Restaurant,Rhenisch Restaurant
194,Food,German Restaurant,Schnitzel Restaurant
195,Food,German Restaurant,Silesian Restaurant
196,Food,German Restaurant,Swabian Restaurant
197,Food,Gluten-free Restaurant,Gluten-free Restaurant
198,Food,Greek Restaurant,Bougatsa Shop
199,Food,Greek Restaurant,Cretan Restaurant
200,Food,Greek Restaurant,Fish Taverna
201,Food,Greek Restaurant,Grilled Meat Restaurant
202,Food,Greek Restaurant,Kafenio
203,Food,Greek Restaurant,Magirio
204,Food,Greek Restaurant,Meze Restaurant
205,Food,Greek Restaurant,Modern Greek Restaurant
206,Food,Greek Restaurant,Ouzeri
207,Food,Greek Restaurant,Patsa Restaurant
208,Food,Greek Restaurant,Souvlaki Shop
209,Food,Greek Restaurant,Taverna
210,Food,Greek Restaurant,Tsipouro Restaurant
211,Food,Halal Restaurant,Halal Restaurant
212,Food,Hawaiian Restaurant,Poke Place
213,Food,Hot Dog Joint,Hot Dog Joint
214,Food,Hungarian Restaurant,Hungarian Restaurant
215,Food,Indian Restaurant,Andhra Restaurant
216,Food,Indian Restaurant,Awadhi Restaurant
217,Food,Indian Restaurant,Bengali Restaurant
218,Food,Indian Restaurant,Chaat Place
219,Food,Indian Restaurant,Chettinad Restaurant
220,Food,Indian Restaurant,Dhaba
221,Food,Indian Restaurant,Dosa Place
222,Food,Indian Restaurant,Goan Restaurant
223,Food,Indian Restaurant,Gujarati Restaurant
224,Food,Indian Restaurant,Hyderabadi Restaurant
225,Food,Indian Restaurant,Indian Chinese Restaurant
226,Food,Indian Restaurant,Indian Sweet Shop
227,Food,Indian Restaurant,Irani Cafe
228,Food,Indian Restaurant,Jain Restaurant
229,Food,Indian Restaurant,Karnataka Restaurant
230,Food,Indian Restaurant,Kerala Restaurant
231,Food,Indian Restaurant,Maharashtrian Restaurant
232,Food,Indian Restaurant,Mughlai Restaurant
233,Food,Indian Restaurant,Multicuisine Indian Restaurant
234,Food,Indian Restaurant,North Indian Restaurant
235,Food,Indian Restaurant,Northeast Indian Restaurant
236,Food,Indian Restaurant,Parsi Restaurant
237,Food,Indian Restaurant,Punjabi Restaurant
238,Food,Indian Restaurant,Rajasthani Restaurant
239,Food,Indian Restaurant,South Indian Restaurant
240,Food,Indian Restaurant,Udupi Restaurant
241,Food,Irish Pub,Irish Pub
242,Food,Italian Restaurant,Abruzzo Restaurant
243,Food,Italian Restaurant,Agriturismo
244,Food,Italian Restaurant,Aosta Restaurant
245,Food,Italian Restaurant,Basilicata Restaurant
246,Food,Italian Restaurant,Calabria Restaurant
247,Food,Italian Restaurant,Campanian Restaurant
248,Food,Italian Restaurant,Emilia Restaurant
249,Food,Italian Restaurant,Friuli Restaurant
250,Food,Italian Restaurant,Ligurian Restaurant
251,Food,Italian Restaurant,Lombard Restaurant
252,Food,Italian Restaurant,Malga
253,Food,Italian Restaurant,Marche Restaurant
254,Food,Italian Restaurant,Molise Restaurant
255,Food,Italian Restaurant,Piadineria
256,Food,Italian Restaurant,Piedmontese Restaurant
257,Food,Italian Restaurant,Puglia Restaurant
258,Food,Italian Restaurant,Romagna Restaurant
259,Food,Italian Restaurant,Roman Restaurant
260,Food,Italian Restaurant,Sardinian Restaurant
261,Food,Italian Restaurant,Sicilian Restaurant
262,Food,Italian Restaurant,South Tyrolean Restaurant
263,Food,Italian Restaurant,Trattoria/Osteria
264,Food,Italian Restaurant,Trentino Restaurant
265,Food,Italian Restaurant,Tuscan Restaurant
266,Food,Italian Restaurant,Umbrian Restaurant
267,Food,Italian Restaurant,Veneto Restaurant
268,Food,Jewish Restaurant,Kosher Restaurant
269,Food,Juice Bar,Juice Bar
270,Food,Kebab Restaurant,Kebab Restaurant
271,Food,Latin American Restaurant,Arepa Restaurant
272,Food,Latin American Restaurant,Empanada Restaurant
273,Food,Latin American Restaurant,Salvadoran Restaurant
274,Food,Latin American Restaurant,South American Restaurant
275,Food,Mac & Cheese Joint,Mac & Cheese Joint
276,Food,Mediterranean Restaurant,Moroccan Restaurant
277,Food,Mexican Restaurant,Botanero
278,Food,Mexican Restaurant,Burrito Place
279,Food,Mexican Restaurant,Taco Place
280,Food,Mexican Restaurant,Tex-Mex Restaurant
281,Food,Mexican Restaurant,Yucatecan Restaurant
282,Food,Middle Eastern Restaurant,Egyptian Restaurant
283,Food,Middle Eastern Restaurant,Iraqi Restaurant
284,Food,Middle Eastern Restaurant,Israeli Restaurant
285,Food,Middle Eastern Restaurant,Kurdish Restaurant
286,Food,Middle Eastern Restaurant,Lebanese Restaurant
287,Food,Middle Eastern Restaurant,Persian Restaurant
288,Food,Middle Eastern Restaurant,Shawarma Place
289,Food,Middle Eastern Restaurant,Syrian Restaurant
290,Food,Middle Eastern Restaurant,Yemeni Restaurant
291,Food,Modern European Restaurant,Modern European Restaurant
292,Food,Molecular Gastronomy Restaurant,Molecular Gastronomy Restaurant
293,Food,Pakistani Restaurant,Pakistani Restaurant
294,Food,Pet Café,Pet Café
295,Food,Pizza Place,Pizza Place
296,Food,Polish Restaurant,Polish Restaurant
297,Food,Portuguese Restaurant,Portuguese Restaurant
298,Food,Poutine Place,Poutine Place
299,Food,Restaurant,Restaurant
300,Food,Russian Restaurant,Blini House
301,Food,Russian Restaurant,Pelmeni House
302,Food,Salad Place,Salad Place
303,Food,Sandwich Place,Sandwich Place
304,Food,Scandinavian Restaurant,Scandinavian Restaurant
305,Food,Scottish Restaurant,Scottish Restaurant
306,Food,Seafood Restaurant,Seafood Restaurant
307,Food,Slovak Restaurant,Slovak Restaurant
308,Food,Snack Place,Snack Place
309,Food,Soup Place,Soup Place
310,Food,Southern / Soul Food Restaurant,Southern / Soul Food Restaurant
311,Food,Spanish Restaurant,Paella Restaurant
312,Food,Spanish Restaurant,Tapas Restaurant
313,Food,Sri Lankan Restaurant,Sri Lankan Restaurant
314,Food,Steakhouse,Steakhouse
315,Food,Swiss Restaurant,Swiss Restaurant
316,Food,Tea Room,Tea Room
317,Food,Theme Restaurant,Theme Restaurant
318,Food,Truck Stop,Truck Stop
319,Food,Turkish Restaurant,Borek Place
320,Food,Turkish Restaurant,Cigkofte Place
321,Food,Turkish Restaurant,Doner Restaurant
322,Food,Turkish Restaurant,Gozleme Place
323,Food,Turkish Restaurant,Kofte Place
324,Food,Turkish Restaurant,Kokoreç Restaurant
325,Food,Turkish Restaurant,Kumpir Restaurant
326,Food,Turkish Restaurant,Kumru Restaurant
327,Food,Turkish Restaurant,Manti Place
328,Food,Turkish Restaurant,Meyhane
329,Food,Turkish Restaurant,Pide Place
330,Food,Turkish Restaurant,Pilavcı
331,Food,Turkish Restaurant,Söğüş Place
332,Food,Turkish Restaurant,Tantuni Restaurant
333,Food,Turkish Restaurant,Turkish Coffeehouse
334,Food,Turkish Restaurant,Turkish Home Cooking Restaurant
335,Food,Turkish Restaurant,Çöp Şiş Place
336,Food,Ukrainian Restaurant,Varenyky restaurant
337,Food,Ukrainian Restaurant,West-Ukrainian Restaurant
338,Food,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurant
339,Food,Wings Joint,Wings Joint
340,Nightlife Spot,Bar,Beach Bar
341,Nightlife Spot,Bar,Beer Bar
342,Nightlife Spot,Bar,Beer Garden
343,Nightlife Spot,Bar,Champagne Bar
344,Nightlife Spot,Bar,Cocktail Bar
345,Nightlife Spot,Bar,Dive Bar
346,Nightlife Spot,Bar,Gay Bar
347,Nightlife Spot,Bar,Hookah Bar
348,Nightlife Spot,Bar,Hotel Bar
349,Nightlife Spot,Bar,Karaoke Bar
350,Nightlife Spot,Bar,Pub
351,Nightlife Spot,Bar,Sake Bar
352,Nightlife Spot,Bar,Speakeasy
353,Nightlife Spot,Bar,Sports Bar
354,Nightlife Spot,Bar,Tiki Bar
355,Nightlife Spot,Bar,Whisky Bar
356,Nightlife Spot,Bar,Wine Bar
357,Nightlife Spot,Brewery,Brewery
358,Nightlife Spot,Lounge,Lounge
359,Nightlife Spot,Night Market,Night Market
360,Nightlife Spot,Nightclub,Nightclub
361,Nightlife Spot,Other Nightlife,Other Nightlife
362,Nightlife Spot,Strip Club,Strip Club
363,Outdoors & Recreation,Athletics & Sports,Badminton Court
364,Outdoors & Recreation,Athletics & Sports,Baseball Field
365,Outdoors & Recreation,Athletics & Sports,Basketball Court
366,Outdoors & Recreation,Athletics & Sports,Bowling Green
367,Outdoors & Recreation,Athletics & Sports,Curling Ice
368,Outdoors & Recreation,Athletics & Sports,Golf Course
369,Outdoors & Recreation,Athletics & Sports,Golf Driving Range
370,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center
371,Outdoors & Recreation,Athletics & Sports,Hockey Field
372,Outdoors & Recreation,Athletics & Sports,Hockey Rink
373,Outdoors & Recreation,Athletics & Sports,Paintball Field
374,Outdoors & Recreation,Athletics & Sports,Rugby Pitch
375,Outdoors & Recreation,Athletics & Sports,Skate Park
376,Outdoors & Recreation,Athletics & Sports,Skating Rink
377,Outdoors & Recreation,Athletics & Sports,Soccer Field
378,Outdoors & Recreation,Athletics & Sports,Sports Club
379,Outdoors & Recreation,Athletics & Sports,Squash Court
380,Outdoors & Recreation,Athletics & Sports,Tennis Court
381,Outdoors & Recreation,Athletics & Sports,Volleyball Court
382,Outdoors & Recreation,Bathing Area,Bathing Area
383,Outdoors & Recreation,Bay,Bay
384,Outdoors & Recreation,Beach,Nudist Beach
385,Outdoors & Recreation,Beach,Surf Spot
386,Outdoors & Recreation,Bike Trail,Bike Trail
387,Outdoors & Recreation,Botanical Garden,Botanical Garden
388,Outdoors & Recreation,Bridge,Bridge
389,Outdoors & Recreation,Campground,Campground
390,Outdoors & Recreation,Canal Lock,Canal Lock
391,Outdoors & Recreation,Canal,Canal
392,Outdoors & Recreation,Castle,Castle
393,Outdoors & Recreation,Cave,Cave
394,Outdoors & Recreation,Cemetery,Cemetery
395,Outdoors & Recreation,Dive Spot,Dive Spot
396,Outdoors & Recreation,Dog Run,Dog Run
397,Outdoors & Recreation,Farm,Farm
398,Outdoors & Recreation,Field,Field
399,Outdoors & Recreation,Fishing Spot,Fishing Spot
400,Outdoors & Recreation,Forest,Forest
401,Outdoors & Recreation,Fountain,Fountain
402,Outdoors & Recreation,Garden,Garden
403,Outdoors & Recreation,Gun Range,Gun Range
404,Outdoors & Recreation,Harbor / Marina,Harbor / Marina
405,Outdoors & Recreation,Hill,Hill
406,Outdoors & Recreation,Hot Spring,Hot Spring
407,Outdoors & Recreation,Indoor Play Area,Indoor Play Area
408,Outdoors & Recreation,Island,Island
409,Outdoors & Recreation,Lake,Lake
410,Outdoors & Recreation,Lighthouse,Lighthouse
411,Outdoors & Recreation,Mountain Hut,Mountain Hut
412,Outdoors & Recreation,Mountain,Mountain
413,Outdoors & Recreation,National Park,National Park
414,Outdoors & Recreation,Nature Preserve,Nature Preserve
415,Outdoors & Recreation,Other Great Outdoors,Other Great Outdoors
416,Outdoors & Recreation,Palace,Palace
417,Outdoors & Recreation,Park,Park
418,Outdoors & Recreation,Pedestrian Plaza,Pedestrian Plaza
419,Outdoors & Recreation,Playground,Playground
420,Outdoors & Recreation,Plaza,Plaza
421,Outdoors & Recreation,Pool,Pool
422,Outdoors & Recreation,Rafting,Rafting
423,Outdoors & Recreation,Recreation Center,Recreation Center
424,Outdoors & Recreation,Reservoir,Reservoir
425,Outdoors & Recreation,River,River
426,Outdoors & Recreation,Rock Climbing Spot,Rock Climbing Spot
427,Outdoors & Recreation,Roof Deck,Roof Deck
428,Outdoors & Recreation,Scenic Lookout,Scenic Lookout
429,Outdoors & Recreation,Sculpture Garden,Sculpture Garden
430,Outdoors & Recreation,Ski Area,Apres Ski Bar
431,Outdoors & Recreation,Ski Area,Ski Chairlift
432,Outdoors & Recreation,Ski Area,Ski Chalet
433,Outdoors & Recreation,Ski Area,Ski Lodge
434,Outdoors & Recreation,Ski Area,Ski Trail
435,Outdoors & Recreation,Skydiving Drop Zone,Skydiving Drop Zone
436,Outdoors & Recreation,Stables,Stables
437,Outdoors & Recreation,State / Provincial Park,State / Provincial Park
438,Outdoors & Recreation,States & Municipalities,City
439,Outdoors & Recreation,States & Municipalities,County
440,Outdoors & Recreation,States & Municipalities,Country
441,Outdoors & Recreation,States & Municipalities,Neighborhood
442,Outdoors & Recreation,States & Municipalities,State
443,Outdoors & Recreation,States & Municipalities,Town
444,Outdoors & Recreation,States & Municipalities,Village
445,Outdoors & Recreation,Summer Camp,Summer Camp
446,Outdoors & Recreation,Trail,Trail
447,Outdoors & Recreation,Tree,Tree
448,Outdoors & Recreation,Vineyard,Vineyard
449,Outdoors & Recreation,Volcano,Volcano
450,Outdoors & Recreation,Waterfall,Waterfall
451,Outdoors & Recreation,Waterfront,Waterfront
452,Outdoors & Recreation,Well,Well
453,Outdoors & Recreation,Windmill,Windmill
454,Professional & Other Places,Animal Shelter,Animal Shelter
455,Professional & Other Places,Art Studio,Art Studio
456,Professional & Other Places,Auditorium,Auditorium
457,Professional & Other Places,Ballroom,Ballroom
458,Professional & Other Places,Building,Building
459,Professional & Other Places,Business Center,Business Center
460,Professional & Other Places,Cidery,Cidery
461,Professional & Other Places,Club House,Club House
462,Professional & Other Places,Community Center,Community Center
463,Professional & Other Places,Convention Center,Meeting Room
464,Professional & Other Places,Cultural Center,Cultural Center
465,Professional & Other Places,Distillery,Distillery
466,Professional & Other Places,Distribution Center,Distribution Center
467,Professional & Other Places,Event Space,Outdoor Event Space
468,Professional & Other Places,Factory,Factory
469,Professional & Other Places,Fair,Fair
470,Professional & Other Places,Funeral Home,Funeral Home
471,Professional & Other Places,Government Building,Capitol Building
472,Professional & Other Places,Government Building,City Hall
473,Professional & Other Places,Government Building,Courthouse
474,Professional & Other Places,Government Building,Embassy / Consulate
475,Professional & Other Places,Government Building,Fire Station
476,Professional & Other Places,Government Building,Monument / Landmark
477,Professional & Other Places,Government Building,Police Station
478,Professional & Other Places,Government Building,Town Hall
479,Professional & Other Places,Industrial Estate,Industrial Estate
480,Professional & Other Places,Laboratory,Laboratory
481,Professional & Other Places,Library,Library
482,Professional & Other Places,Meadery,Meadery
483,Professional & Other Places,Medical Center,Acupuncturist
484,Professional & Other Places,Medical Center,Alternative Healer
485,Professional & Other Places,Medical Center,Chiropractor
486,Professional & Other Places,Medical Center,Dentist's Office
487,Professional & Other Places,Medical Center,Doctor's Office
488,Professional & Other Places,Medical Center,Emergency Room
489,Professional & Other Places,Medical Center,Eye Doctor
490,Professional & Other Places,Medical Center,Hospital
491,Professional & Other Places,Medical Center,Maternity Clinic
492,Professional & Other Places,Medical Center,Medical Lab
493,Professional & Other Places,Medical Center,Mental Health Office
494,Professional & Other Places,Medical Center,Nutritionist
495,Professional & Other Places,Medical Center,Physical Therapist
496,Professional & Other Places,Medical Center,Rehab Center
497,Professional & Other Places,Medical Center,Urgent Care Center
498,Professional & Other Places,Medical Center,Veterinarian
499,Professional & Other Places,Military Base,Military Base
500,Professional & Other Places,Non-Profit,Non-Profit
501,Professional & Other Places,Observatory,Observatory
502,Professional & Other Places,Office,Advertising Agency
503,Professional & Other Places,Office,Campaign Office
504,Professional & Other Places,Office,Conference Room
505,Professional & Other Places,Office,Corporate Amenity
506,Professional & Other Places,Office,Corporate Cafeteria
507,Professional & Other Places,Office,Corporate Coffee Shop
508,Professional & Other Places,Office,Coworking Space
509,Professional & Other Places,Office,Tech Startup
510,Professional & Other Places,Parking,Parking
511,Professional & Other Places,Post Office,Post Office
512,Professional & Other Places,Power Plant,Power Plant
513,Professional & Other Places,Prison,Prison
514,Professional & Other Places,Radio Station,Radio Station
515,Professional & Other Places,Recruiting Agency,Recruiting Agency
516,Professional & Other Places,Research Station,Research Station
517,Professional & Other Places,School,Adult Education Center
518,Professional & Other Places,School,Circus School
519,Professional & Other Places,School,Cooking School
520,Professional & Other Places,School,Driving School
521,Professional & Other Places,School,Elementary School
522,Professional & Other Places,School,Flight School
523,Professional & Other Places,School,High School
524,Professional & Other Places,School,Language School
525,Professional & Other Places,School,Middle School
526,Professional & Other Places,School,Music School
527,Professional & Other Places,School,Nursery School
528,Professional & Other Places,School,Preschool
529,Professional & Other Places,School,Private School
530,Professional & Other Places,School,Religious School
531,Professional & Other Places,School,Swim School
532,Professional & Other Places,Social Club,Social Club
533,Professional & Other Places,Spiritual Center,Buddhist Temple
534,Professional & Other Places,Spiritual Center,Cemevi
535,Professional & Other Places,Spiritual Center,Church
536,Professional & Other Places,Spiritual Center,Confucian Temple
537,Professional & Other Places,Spiritual Center,Hindu Temple
538,Professional & Other Places,Spiritual Center,Kingdom Hall
539,Professional & Other Places,Spiritual Center,Monastery
540,Professional & Other Places,Spiritual Center,Mosque
541,Professional & Other Places,Spiritual Center,Prayer Room
542,Professional & Other Places,Spiritual Center,Shrine
543,Professional & Other Places,Spiritual Center,Sikh Temple
544,Professional & Other Places,Spiritual Center,Synagogue
545,Professional & Other Places,Spiritual Center,Temple
546,Professional & Other Places,Spiritual Center,Terreiro
547,Professional & Other Places,TV Station,TV Station
548,Professional & Other Places,Voting Booth,Voting Booth
549,Professional & Other Places,Warehouse,Warehouse
550,Professional & Other Places,Waste Facility,Waste Facility
551,Professional & Other Places,Wedding Hall,Wedding Hall
552,Professional & Other Places,Winery,Winery
553,Residence,Assisted Living,Assisted Living
554,Residence,Home (private),Home (private)
555,Residence,Housing Development,Housing Development
556,Residence,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo)
557,Residence,Trailer Park,Trailer Park
558,Shop & Service,ATM,ATM
559,Shop & Service,Adult Boutique,Adult Boutique
560,Shop & Service,Antique Shop,Antique Shop
561,Shop & Service,Arts & Crafts Store,Arts & Crafts Store
562,Shop & Service,Astrologer,Astrologer
563,Shop & Service,Auto Dealership,New Auto Dealership
564,Shop & Service,Auto Dealership,Used Auto Dealership
565,Shop & Service,Auto Garage,Auto Garage
566,Shop & Service,Auto Workshop,Auto Workshop
567,Shop & Service,Automotive Shop,Automotive Shop
568,Shop & Service,Baby Store,Baby Store
569,Shop & Service,Bank,Bank
570,Shop & Service,Bath House,Bath House
571,Shop & Service,Batik Shop,Batik Shop
572,Shop & Service,Betting Shop,Betting Shop
573,Shop & Service,Big Box Store,Big Box Store
574,Shop & Service,Bike Shop,Bike Shop
575,Shop & Service,Board Shop,Board Shop
576,Shop & Service,Bookstore,Bookstore
577,Shop & Service,Bridal Shop,Bridal Shop
578,Shop & Service,Business Service,Business Service
579,Shop & Service,Camera Store,Camera Store
580,Shop & Service,Candy Store,Candy Store
581,Shop & Service,Car Wash,Car Wash
582,Shop & Service,Carpet Store,Carpet Store
583,Shop & Service,Check Cashing Service,Check Cashing Service
584,Shop & Service,Child Care Service,Daycare
585,Shop & Service,Chocolate Shop,Chocolate Shop
586,Shop & Service,Clothing Store,Accessories Store
587,Shop & Service,Clothing Store,Boutique
588,Shop & Service,Clothing Store,Kids Store
589,Shop & Service,Clothing Store,Lingerie Store
590,Shop & Service,Clothing Store,Men's Store
591,Shop & Service,Clothing Store,Shoe Store
592,Shop & Service,Clothing Store,Women's Store
593,Shop & Service,Comic Shop,Comic Shop
594,Shop & Service,Construction & Landscaping,Construction & Landscaping
595,Shop & Service,Convenience Store,Convenience Store
596,Shop & Service,Cosmetics Shop,Cosmetics Shop
